0,1,2,3,4,5,6,7,8
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
food,music,technology,theater,film & video,publishing,games,photography,journalism
